timestamp,PortXmitData_mlx5_1,PortRcvData_mlx5_1,PortXmitPkts_mlx5_1,PortRcvPkts_mlx5_1,PortXmitWait_mlx5_1,PortXmitData_mlx5_4,PortRcvData_mlx5_4,PortXmitPkts_mlx5_4,PortRcvPkts_mlx5_4,PortXmitWait_mlx5_4,PortXmitData_mlx5_2,PortRcvData_mlx5_2,PortXmitPkts_mlx5_2,PortRcvPkts_mlx5_2,PortXmitWait_mlx5_2,PortXmitData_mlx5_0,PortRcvData_mlx5_0,PortXmitPkts_mlx5_0,PortRcvPkts_mlx5_0,PortXmitWait_mlx5_0,PortRcvPkts_sum,PortXmitData_sum,PortRcvData_sum,PortXmitPkts_sum,PortXmitWait_sum
56,4294967295,1147646,4269099,58087,1102968778,4238874986,1112959,4149087,56126,1159855618,4155856220,1094312,4067878,55236,1198538505,4276279806,1122653,4185722,56405,1138690985,225854,16965978307,4477570,16671786,4600053886
57,4294967295,1140704,4205893,58306,1150036442,4199230077,1107374,4110340,56133,1188000361,4294967295,1124927,4222774,55897,1135331442,4254104379,1139343,4164041,59401,1171302684,229737,17043269046,4512348,16703048,4644670929
58,4199708725,1115762,4110742,57419,1151431779,4110131712,1086746,4023147,55055,1226554487,4244249619,1112840,4154368,55816,1156029766,4252658851,1112791,4162639,55573,1140050731,223863,16806748907,4428139,16450896,4674066763
59,4294967295,1149098,4244638,58565,1092044379,4145138962,1093348,4057352,55603,1177463388,4158372125,1092354,4070287,55059,1173350952,4134158324,1088278,4046595,54816,1183201091,224043,16732636706,4423078,16418872,4626059810
60,4294967295,1137708,4260031,56914,1114087852,4294967295,1127888,4225375,56403,1131630419,4294967295,1133481,4212888,57251,1140445962,4221949217,1117902,4132573,57011,1178029809,227579,17106851102,4516979,16830867,4564194042
61,4294967295,1143377,4215408,58197,1136120280,4294967295,1133969,4238833,56692,1126299105,4196552387,1109609,4107720,56478,1192395799,4294967295,1138892,4210114,58394,1138115204,229761,17081454272,4525847,16772075,4592930388
62,4245538839,1118416,4155625,56604,1126129033,4279086042,1127316,4188453,56740,1146019652,4085189762,1081473,3998658,55355,1237705799,4294967295,1130708,4254615,56177,1090439800,224876,16904781938,4457913,16597351,4600294284
63,4181024722,1119673,4092468,58150,1135765821,4294967295,1142563,4283702,57044,1062402681,3995939329,1060399,3911309,54342,1252779783,4066949468,1067912,3980810,53579,1168328470,223115,16538880814,4390547,16268289,4619276755
64,4294967295,1137694,4253290,56901,1102368654,4294967295,1147877,4282362,57427,1080842209,4155956478,1088337,4067962,54306,1194404572,4037418876,1077381,3951911,55502,1250791589,224136,16783309944,4451289,16555525,4628407024
65,4286434600,1123831,4195676,56431,1139171765,4294967295,1164712,4350940,58242,1062553923,4143960741,1092653,4056167,55534,1212071829,4183174575,1101164,4094598,55917,1171544286,226124,16908537211,4482360,16697381,4585341803
66,4294967295,1161947,4353072,57970,1007705433,4294967295,1131970,4225394,57296,1123505984,4065706875,1070780,3979589,54362,1243008461,4208105952,1119452,4118940,57518,1143389675,227146,16863747417,4484149,16676995,4517609553
67,4191138131,1118155,4102428,57953,1138306679,4210000498,1103594,4120863,54937,1063283026,4113474491,1072129,4026398,52762,1143546167,4006542902,1064239,3921734,54494,1182138417,220146,16521156022,4358117,16171423,4527274289
68,4210448829,1120971,4121266,57547,1141759311,4262743209,1111288,4172509,55082,1117105230,3862143425,1022827,3780348,52589,1342351897,3975632599,1063419,3891428,55214,1266378393,220432,16310968062,4318505,15965551,4867594831
69,4253369064,1131411,4163355,57699,1148198633,4294967295,1175304,4338548,60167,1070568679,4052903056,1078826,3967085,55357,1249731409,4197260859,1117565,4108354,57698,1170014253,230921,16798500274,4503106,16577342,4638512974
70,4281625973,1117117,4190942,55910,1113835048,4294967295,1128252,4218459,56466,1084765389,4115733555,1084016,4028567,54562,1164017323,4077008138,1089346,3990649,56524,1192205571,223462,16769334961,4418731,16428617,4554823331
71,4132209733,1096232,4044673,55790,1103682495,4255173560,1111528,4165094,55403,1057075066,3994766107,1043175,3910152,52168,1119608908,3942402473,1052256,3858891,54578,1185129714,217939,16324551873,4303191,15978810,4465496183
72,4294967295,1178964,4344435,60644,1052761937,4294967295,1165470,4332525,58568,1051910193,4141096081,1107869,4053390,57713,1182458115,4057825553,1091792,3971857,56985,1237821853,233910,16788856224,4544095,16702207,4524952098
73,4014167675,1065513,3929097,54511,1191467007,4294967295,1223917,4606586,60492,900626994,4294967295,1126243,4205081,56175,1067504551,3780075770,1010703,3700019,52589,1292194570,223767,16384178035,4426376,16440783,4451793122
74,3287578643,887725,3217916,46878,1218250405,4294967295,1273722,4830163,62511,746728886,4294967295,1216034,4561994,60218,846892424,3293815916,896411,3223975,48077,1304461273,217684,15171329149,4273892,15834048,4116332988
75,3072455645,813205,3007315,41403,1079591560,4294967295,1224790,4588665,60235,761999695,4294967295,1121648,4232626,55223,807760124,3162864364,836465,3095852,42590,1055042474,199451,14825254599,3996108,14924458,3704393853
76,3207921467,836284,3139946,41749,947692278,4294967295,1121119,4257529,55149,643574240,3628516764,940927,3551613,46511,858668374,3276990138,864420,3207555,43887,957775167,187296,14408395664,3762750,14156643,3407710059
77,3125362184,825359,3059165,41728,892024889,3887896466,1011444,3805547,49821,779310737,3378952412,879656,3307332,43719,982553099,3343209101,872558,3272363,43571,1002838688,178839,13735420163,3589017,13444407,3656727413
78,3236109700,842188,3167531,41634,866801097,3110926165,815340,3045059,40744,911918502,3256600294,852726,3187637,42617,902350059,3307522262,862046,3237442,42883,890152563,167878,12911158421,3372300,12637669,3571222221
